URI,count,type
http://id.nlm.nih.gov/mesh/,2412,subject
http://purl.org/allie/id/longform/,8154968,subject
http://purl.org/allie/id/pair/,21016136,subject
http://purl.org/allie/id/shortform/,2215206,subject
http://purl.org/allie/ontology/,11,subject
http://purl.org/allie/ontology/201108#,97,subject
http://togows.dbcls.jp/entry/ncbi-pubmed/,16145792,subject
http://creativecommons.org/licenses/by/2.1/jp/,1,object
http://dbcls.rois.ac.jp/,2,object
http://dbpedia.org/resource,113469,object
http://id.nlm.nih.gov/mesh/,5010629,object
http://lod.ac/bdls/species/,2017,object
http://lod.ac/bdls/species/Visna/,1,object
http://lod.ac/bdls/term/,51021,object
http://lod.ac/bdls/term/O/,1,object
http://lod.ac/bdls/term/W/,1,object
http://purl.jp/bio/10/lsd/term/,57338,object
http://purl.org/allie/id/longform/,5048139,object
http://purl.org/allie/id/pair/,3086056,object
http://purl.org/allie/id/shortform/,42452702,object
http://purl.org/allie/ontology/201108#,27614499,object
http://purl.org/dc/terms/,1,object
http://togows.dbcls.jp/entry/ncbi-pubmed/,34323129,object
http://www.w3.org/2001/XMLSchema#,1,object
http://www.w3.org/2002/07/owl#,45,object
