"URI","count","type"
"ftp://ftp.ebi.ac.uk/pub/databases/GO/goa/WORM/","10","subject"
"ftp://ftp.ebi.ac.uk/pub/databases/GO/goa/YEAST/","10","subject"
"ftp://ftp.ebi.ac.uk/pub/databases/GO/goa/ZEBRAFISH/","10","subject"
"ftp://ftp.ebi.ac.uk/pub/databases/genenames/","11","subject"
"ftp://ftp.ebi.ac.uk/pub/databases/interpro/","10","subject"
"ftp://ftp.informatics.jax.org/pub/reports/","36","subject"
"ftp://ftp.ncbi.nih.gov/gene/DATA/","80","subject"
"ftp://ftp.ncbi.nih.gov/gene/DATA/GENE_INFO/","10","subject"
"ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/","9","subject"
"ftp://ftp.ncbi.nih.gov/pub/taxonomy/","11","subject"
"ftp://ftp.pir.georgetown.edu/databases/iproclass/","10","subject"
"ftp://ftp.wormbase.org/pub/wormbase/species/c_elegans/annotation/gene_interactions/","11","subject"
"ftp://nlmpubs.nlm.nih.gov/online/mesh/.asciimesh/","27","subject"
"http://a.com/ontology#","106","subject"
"http://aimlab.cs.uoregon.edu/NEMO/ontology/1.0/","1","subject"
"http://aims.fao.org/aos/geopolitical.owl#","5","subject"
"http://api.omim.org/api/","11","subject"
"http://attempto.ifi.uzh.ch/ace_lexicon#","12","subject"
"http://attempto.ifi.uzh.ch/acetext#","1","subject"
"http://bhi.washington.edu/","1","subject"
"http://bhi.washington.edu/OPB#","6865","subject"
"http://bio2rdf.org/","6515033933","subject"
"http://bioassayontology.org/bao/","9","subject"
"http://bioontology.org/ontologies/","3","subject"
"http://bioontology.org/ontologies/Activity.owl#","88","subject"
"http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#","5229","subject"
"http://bioontology.org/ontologies/BiomedicalResources.owl#","1","subject"
"http://bioontology.org/ontologies/ResearchArea.owl#","201","subject"
"http://bioontology.org/ontologies/biositemap.owl#","1208","subject"
"http://bioontology.org/ontologies/tma-minimal#","361","subject"
"http://bioontology.org/projects/ontologies/","1","subject"
"http://bioontology.org/projects/ontologies/birnlex#","108997","subject"
"http://bioportal.bioontology.org#","10","subject"
"http://bioportal/bioontology.org/ontologies/","1","subject"
"http://bioportal/bioontology.org/ontologies/HIVO0004#","311","subject"
"http://bmkeg.isi.edu/ooevv/","849","subject"
"http://cbmi.med.harvard.edu/","1","subject"
"http://cbmi.med.harvard.edu/asdphenotype#","1586","subject"
"http://cbo.biocomplexity.indiana.edu/svn/cbo/trunk/","11","subject"
"http://cbo.biocomplexity.indiana.edu/svn/cbo/trunk/CBO_1_0#","12","subject"
"http://cbo.biocomplexity.indiana.edu/svn/cbo/trunk/CBO_1_0.owl#","3740","subject"
"http://ccdb.ucsd.edu/SAO/","9","subject"
"http://ccdb.ucsd.edu/SAO/1.2#","25170","subject"
"http://cerrado.linkeddata.es/ecology/ccon#","976","subject"
"http://cerrado.linkeddata.es/ecology/concepts#","2","subject"
"http://cerrado.linkeddata.es/ecology/fire#","353","subject"
"http://chebi.bio2rdf.org/","3","subject"
"http://chem.deri.ie/","2","subject"
"http://chem.deri.ie/granatum#","804","subject"
"http://chem2bio2rdf.org/","5","subject"
"http://chem2bio2rdf.org/chem2bio2rdf.owl#","1160","subject"
"http://clinicaltrials.gov/ct2/show/","10","subject"
"http://code.google.com/p/information-artifact-ontology/","6","subject"
"http://ctdbase.org/reports/","144","subject"
"http://cui.unige.ch/isi/onto/tok/","22","subject"
"http://cui.unige.ch/isi/onto/tok/TOK.owl#","4933","subject"
"http://cwi.nl/~troncy/DOE#","8","subject"
"http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/FDAPharmgxTable/","689","subject"
"http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/resource/structuredProductLabelMetadata/","1982785","subject"
"http://dbmi-icode-01.dbmi.pitt.edu/linkedSPLs/vocab/resource/","550","subject"
"http://dbpedia.org/","3","subject"
"http://dbpedia.org/page/","1","subject"
"http://dbpedia.org/resource/","53","subject"
"http://doe-generated-ontology.com/","9","subject"
"http://doe-generated-ontology.com/OntoPneumo#","5542","subject"
"http://download.bio2df.org/release/3/sider/","56","subject"
"http://download.bio2rdf.org/release/3/","1003","subject"
"http://downloads.yeastgenome.org/","20","subject"
"http://downloads.yeastgenome.org/curation/calculated_protein_info/","10","subject"
"http://downloads.yeastgenome.org/curation/calculated_protein_info/domains/","10","subject"
"http://downloads.yeastgenome.org/curation/chromosomal_feature/","20","subject"
"http://downloads.yeastgenome.org/curation/literature/","60","subject"
"http://dublincore.org/documents/dcmi-terms/","7","subject"
"http://eagle-i.org/ont/app/1.0/","2","subject"
"http://ebi.ac.uk/","1","subject"
"http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#","11","subject"
"http://ecoinformatics.org/oboe/oboe.1.0/oboe-spatial.owl#","3","subject"
"http://ecoinformatics.org/oboe/oboe.1.0/oboe-temporal.owl#","3","subject"
"http://ecoinformatics.org/oboe/oboe.1.0/oboe-units.owl#","12","subject"
"http://ecoinformatics.org/oboe/oboe.1.0/oboe.owl#","3","subject"
"http://edamontology.org#","8","subject"
"http://edamontology.org/","31996","subject"
"http://en.wikipedia.org/wiki/","9584","subject"
"http://en.wikipedia.org/wiki/Amoxicillin/","2","subject"
"http://en.wikipedia.org/wiki/Imipenem/","2","subject"
"http://en.wikipedia.org/wiki/Piperacillin/","2","subject"
"http://en.wikipedia.org/wiki/Tobramycin/","2","subject"
"http://epoch.stanford.edu/","7","subject"
"http://epoch.stanford.edu/ClinicalTrialOntology.owl#","383","subject"
"http://esdn.org/eurogrowbase.owl#","2","subject"
"http://eutils.ncbi.nlm.nih.gov/entrez/eutils/","9","subject"
