URI,count,type
http://biomodels.net/biology-qualifiers#,78,subject
http://biomodels.net/model-qualifiers#,18,subject
http://identifiers.org/,2,subject
http://identifiers.org/biomodels.db,17219333,subject
http://identifiers.org/biomodels.vocabulary#,734,subject
http://purl.obolibrary.org/obo/,10511,subject
http://purl.uniprot.org/uniprot/,87755,subject
http://rdf.ebi.ac.uk/dataset/biomodels/,36,subject
http://rdf.ebi.ac.uk/dataset/biomodels/25/,6,subject
http://rdf.ebi.ac.uk/dataset/biomodels/26/,6,subject
ftp://ftp.ebi.ac.uk/pub/databases/RDF/biomodels/r25/,1,object
ftp://ftp.ebi.ac.uk/pub/databases/RDF/biomodels/r26/,1,object
http://arxiv.org/pdf/,6,object
http://bigg.ucsd.edu/#,2408,object
http://identifiers.org,10223251,object
http://purl.obolibrary.org/obo/,23257,object
http://purl.org/obo/,8,object
http://purl.uniprot.org/uniprot/,122312,object
http://rdf.ebi.ac.uk/dataset/biomodels/,4,object
http://rdfs.org/ns/void#,4,object
http://www.ebi.ac.uk/biomodels-main/,2,object
http://www.ebi.ac.uk/biomodels/,4,object
http://www.ebi.ac.uk/rdf/services/,6,object
http://www.ebi.ac.uk/rdf/services/biomodels/,2,object
http://www.genoscope.cns.fr/acinetocyc/#,2994,object
http://www.narcis.nl/publication/RecordID/,2,object
http://www.w3.org/1999/02/22-rdf-syntax-ns#,256,object
http://www.w3.org/2000/01/rdf-schema#,82,object
http://www.w3.org/2001/XMLSchema#,40,object
http://www.w3.org/2002/07/owl#,2,object
https://www.novapublishers.com/catalog/,2,object
