URI,count,type
ftp://ftp.biomarker.com.cn/,2,subject
http://1001genomes.org/,6,subject
http://166.104.249.83/,5,subject
http://172.20.10.61/portal/,4,subject
http://180.168.148.219/xsy/,4,subject
http://222.28.160.221/,5,subject
http://2ei.univ-perp.fr/,11,subject
http://JCVI.org/,4,subject
http://Pdx.edu/,5,subject
http://Udall-lab.byu.edu/,4,subject
http://UiB.no/,4,subject
http://WWW.KSU.EDU/,4,subject
http://WWW.trade.nsw.gov.au/,10,subject
http://academic.reed.edu/biology/,8,subject
http://adaptree.sites.olt.ubc.ca/,3,subject
http://agbio.usask.ca/departments/plant-sciences/,10,subject
http://agr.gc.ca/,4,subject
http://alga.cz/,4,subject
http://anthropology.as.nyu.edu/page/,3,subject
http://appmibio.uni-goettingen.de/,79,subject
http://ars.usda.gov/Main/,3,subject
http://as.vanderbilt.edu/biosci/,3,subject
http://asu.edu/,3,subject
http://atol.genetics.wisc.edu/,8,subject
http://auburn.edu/,10,subject
http://axtell-lab-psu.weebly.com/,4,subject
http://bartoli.columbianeuro.org/,3,subject
http://bcc.bx.psu.edu/,7,subject
http://bcm.edu/,4,subject
http://bdu.ac.in/,9,subject
http://berkeley.edu/,4,subject
http://bgsc.org/,5,subject
http://bic.boseinst.ernet.in/dpb/,4,subject
http://bio.dlmu.edu.cn/,4,subject
http://bio.szu.edu.cn/,3,subject
http://biocenter.swu.edu.cn/,3,subject
http://biochem.caluniv.in/,11,subject
http://biodiv.sinica.edu.tw/,5,subject
http://bioinfo.au.tsinghua.edu.cn/,6,subject
http://bioinfo.cnpso.embrapa.br/genosoja/,3,subject
http://bioinformatica.vil.usal.es/,4,subject
http://bioinformatics.cenicafe.org/index.php/wiki/,2,subject
http://bioinformatics.ucdavis.edu/,6,subject
http://bioinformatics.unl.edu/,4,subject
http://biologicalsciences.uncc.edu/,10,subject
http://biology.as.nyu.edu/,3,subject
http://biology.columbian.gwu.edu/,5,subject
http://biology.mcgill.ca/vegi/,4,subject
http://biology.unm.edu/,6,subject
http://biology.upd.edu.ph/,1,subject
http://biology.utah.edu/,4,subject
http://biopic.pku.edu.cn/,4,subject
http://biopic.pku.edu.cn/english/,4,subject
http://bios.au.dk/,4,subject
http://bios.co/,4,subject
http://biosci.unl.edu/,10,subject
http://biosciences.exeter.ac.uk/staff/,59,subject
http://biotech.missouri.edu/,4,subject
http://biotech.uplb.edu.ph/,4,subject
http://biq.cjlu.edu.cn/,9,subject
http://bmb.psu.edu/,12,subject
http://bpp.oregonstate.edu/,11,subject
http://bri.caas.net.cn/,4,subject
http://brown.edu/,19,subject
http://btm.gujarat.gov.in/,5,subject
http://bushmanlab.org/,4,subject
http://c-path.org/,4,subject
http://cals.arizona.edu/research/baltruslab/,11,subject
http://caltech.edu/,5,subject
http://cancer.sanger.ac.uk/cosmic/sample/,5947280,subject
http://cancer.ucsd.edu/,4,subject
http://carb.au.dk/,3,subject
http://cas-bioinfo.cas.unt.edu/,3,subject
http://cas.umt.edu/dbs/,13,subject
http://cbi.gwu.edu/,13,subject
http://cbi.pku.edu.cn/,6,subject
http://cbms.mq.edu.au/,4,subject
http://ccamp.res.in/,6,subject
http://ccf.org/,4,subject
http://ccg.murdoch.edu.au/,5,subject
http://ccmar.ualg.pt/maree/,7,subject
http://ccr.cancer.gov/,4,subject
http://ccr.coriell.org/,6,subject
http://ccr.coriell.org/Sections/Collections,78,subject
http://cdph.ca.gov/,5,subject
http://cee.illinois.edu/,8,subject
http://centrodigenomica.entecra.it/,22,subject
http://cese.pku.edu.cn/,4,subject
http://cetics.butantan.gov.br/,6,subject
http://cfs.nrcan.gc.ca/centres/read/,3,subject
http://cgb.indiana.edu/,7,subject
http://cgb.indiana.edu/genomics/,4,subject
http://cgrb.oregonstate.edu/,3,subject
http://childrensnational.org/,4,subject
http://chisholmlab.mit.edu/,10,subject
http://chiulab.ucsf.edu/,4,subject
http://chromous.com/,3,subject
http://ciat.cgiar.org/,22,subject
http://cibio.up.pt/,3,subject
http://cift.res.in/,15,subject
http://cimic.uniandes.edu.co/,4,subject
http://cm.jefferson.edu/,6,subject
http://cmb.snu.ac.kr/,10,subject
http://cnrcs.uh.edu/,4,subject
http://code.google.com/p/information-artifact-ontology/,24,subject
http://cofactorgenomics.com/,5,subject
http://cole-lab.epfl.ch/,10,subject
http://columbia.edu/,4,subject
http://comgen.pl/,9,subject
http://comparativegenomics.illinois.edu/,4,subject
http://compbio.med.harvard.edu/,4,subject
http://cpcri.gov.in/,4,subject
http://cshl.edu/,4,subject
http://csiro.au/,4,subject
http://cube.univie.ac.at/,5,subject
http://cvm.msu.edu/departments/scs/research-initiatives/co/,4,subject
http://cysterlab.ucsf.edu/,4,subject
http://danforthcenter.org/,4,subject
http://darlinglab.org/,12,subject
http://dca.au.dk/en/about_dca/au-flakkebjerg/,4,subject
http://dent.osu.edu/,4,subject
http://derisilab.ucsf.edu/,4,subject
http://dhmri.org/,4,subject
http://diabetesresearchcenter.dom.wustl.edu/,4,subject
http://dkxy.nwsuaf.edu.cn/,3,subject
http://dobzhanskycenter.org/,7,subject
http://dpb.carnegiescience.edu/,8,subject
http://dyxy.nwsuaf.edu.cn/newsite/,4,subject
http://eco.korea.ac.kr/,10,subject
http://ecogenomic.org/,21,subject
http://ecologyandevolution.cornell.edu/,8,subject
http://ecolyse.com/,5,subject
http://economicdevelopment.vic.gov.au/,1,subject
http://edwards.sdsu.edu/,8,subject
http://eez.csic.es/,5,subject
http://egg.umh.es/,33,subject
http://eichlerlab.gs.washington.edu/,3,subject
http://eigc.emory.edu/,4,subject
http://einstein.yu.edu/,6,subject
http://emb.carnegiescience.edu/,9,subject
http://en.genomics.cn/,3,subject
http://en.nwsuaf.edu.cn/,6,subject
http://en.whu.edu.cn/,4,subject
http://english.big.cas.cn/,15,subject
http://english.caas.net.cn/,5,subject
http://english.cib.cas.cn/,3,subject
http://english.hust.edu.cn/,15,subject
http://english.ihb.cas.cn/,7,subject
http://english.im.cas.cn/,5,subject
http://english.ioz.cas.cn/,4,subject
http://english.iue.cas.cn/,19,subject
http://english.jiangnan.edu.cn/,4,subject
http://english.njau.edu.cn/,7,subject
http://english.qdio.cas.cn/,3,subject
http://english.wbg.cas.cn/,10,subject
http://english.xtbg.cas.cn/,5,subject
http://english.yzu.edu.cn/,4,subject
http://enve-omics.gatech.edu/,13,subject
http://epfl.ch/,3,subject
http://epi.ufl.edu/,10,subject
http://epigenetik.uni-saarland.de/en/home/,4,subject
http://epigenome.usc.edu/,4,subject
http://evolgenomics.fbb.msu.ru/,9,subject
http://exac.broadinstitute.org/,6,subject
http://exigorecycling.com/,4,subject
http://exon.njms.rutgers.edu/lab_home/,4,subject
http://faang.org/,2,subject
http://faculty.tru.ca/jvanhamme/,3,subject
http://faculty.vetmed.ucdavis.edu/faculty/gclanzaro/vgl/,4,subject
http://fc.ul.pt/,3,subject
http://fcf.usp.br/departamentos/,3,subject
http://fda.gov/,3,subject
http://fda.hhs.gov/,4,subject
http://fera.co.uk/,10,subject
http://fera.defra.gov.uk/,10,subject
http://fgf.uchicago.edu/,4,subject
http://fish.washington.edu/,4,subject
http://fish.washington.edu/research/seeblab/,13,subject
http://foi.se/,4,subject
http://foundationmedicine.com/,4,subject
