URI,count,type
http://actor.epa.gov/actor/,123254,subject
http://en.wikipedia.org/wiki/,9534,subject
http://en.wikipedia.org/wiki/Amoxicillin/,2,subject
http://en.wikipedia.org/wiki/Imipenem/,2,subject
http://en.wikipedia.org/wiki/Piperacillin/,2,subject
http://en.wikipedia.org/wiki/Tobramycin/,2,subject
http://fdasis.nlm.nih.gov/srs/ProxyServlet?mergeData=true&objectHandle=DBMaint&APPLICATION_NAME=fdasrs&actionHandle=default&nextPage=jsp/srs/,36006,subject
http://humanmetabolism.org/,560,subject
http://identifiers.org,457706,subject
http://identifiers.org/taxonomy/,222,subject
http://life.ccs.miami.edu/life/,29654,subject
http://mordred.bioc.cam.ac.uk/timbal/,218,subject
http://nikkajiweb.jst.go.jp/nikkaji_web/pages/,384064,subject
http://nmrshiftdb.org/molecule/,13542,subject
http://pubchem.ncbi.nlm.nih.gov/assay/,5792,subject
http://pubchem.ncbi.nlm.nih.gov/summary/,3769414,subject
http://purl.org/dc/terms/,3,subject
http://purl.uniprot.org/uniprot/,14460,subject
http://rdf.ebi.ac.uk/dataset/chembl/,5,subject
http://rdf.ebi.ac.uk/dataset/chembl/21.0/void.ttl#,221,subject
http://rdf.ebi.ac.uk/resource/chembl,452114981,subject
http://rdf.ebi.ac.uk/terms/,9,subject
http://rdf.ebi.ac.uk/terms/chembl#,1032,subject
http://research.nhgri.nih.gov/CGD/view/,1382,subject
http://www-935.ibm.com/services/us/gbs/bao/siip/nih/,399856,subject
http://www.drugbank.ca/drugs/,8064,subject
http://www.ebi.ac.uk/chebi/,27814,subject
http://www.ebi.ac.uk/gxa/,1280,subject
http://www.ebi.ac.uk/pdbe-srv/pdbechem/chemicalCompound/show/,17502,subject
http://www.emolecules.com/cgi-bin/,828858,subject
http://www.genome.jp/dbget-bin/,13026,subject
http://www.guidetopharmacology.org/GRAC/,9744,subject
http://www.hmdb.ca/metabolites/,10378,subject
http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/,7456,subject
http://www.ncbi.nlm.nih.gov/books/,1250,subject
http://www.pharmgkb.org/drug/,1434,subject
http://www.pharmgkb.org/gene/,5110,subject
http://www.selleckchem.com/products/,3288,subject
http://zinc.docking.org/substance/,628042,subject
https://cansar.icr.ac.uk/cansar/protein-targets/,8342,subject
https://mcule.com/,727030,subject
https://www.ebi.ac.uk/chembl/compound/displayimage_large/,3184382,subject
https://www.molport.com/shop/molecule-link/,882476,subject
https://www.surechembl.org/chemical/,585246,subject
ftp://ftp.ebi.ac.uk/pub/databases/chebi/SDF/,1,object
ftp://ftp.ebi.ac.uk/pub/databases/chembl/,1,object
ftp://ftp.ebi.ac.uk/pub/databases/chembl/ChEMBL-RDF/21.0/,16,object
ftp://ftp.ebi.ac.uk/pub/databases/uniprot/previous_releases/release-2015_12/knowledgebase/,1,object
http://actor.epa.gov/actor/,61627,object
http://creativecommons.org/licenses/by-nd/3.0/,1,object
http://creativecommons.org/licenses/by-sa/3.0/,7,object
http://en.wikipedia.org/wiki/,4767,object
http://en.wikipedia.org/wiki/Amoxicillin/,1,object
http://en.wikipedia.org/wiki/Imipenem/,1,object
http://en.wikipedia.org/wiki/Piperacillin/,1,object
http://en.wikipedia.org/wiki/Tobramycin/,1,object
http://fdasis.nlm.nih.gov/srs/ProxyServlet?mergeData=true&objectHandle=DBMaint&APPLICATION_NAME=fdasrs&actionHandle=default&nextPage=jsp/srs/,18003,object
http://humanmetabolism.org/,280,object
http://identifiers.org,232470,object
http://identifiers.org/mesh/,5951,object
http://identifiers.org/pubmed/,56475,object
http://identifiers.org/taxonomy/,1115559,object
http://life.ccs.miami.edu/life/,14827,object
http://mordred.bioc.cam.ac.uk/timbal/,109,object
http://nikkajiweb.jst.go.jp/nikkaji_web/pages/,192032,object
http://nmrshiftdb.org/molecule/,6771,object
http://orcid.org/,12,object
http://pubchem.ncbi.nlm.nih.gov/assay/,2896,object
http://pubchem.ncbi.nlm.nih.gov/summary/,1884707,object
http://purl.obolibrary.org/obo/,12178960,object
http://purl.org/cld/freq/,1,object
http://purl.org/dc/,1,object
http://purl.org/dc/dcmitype/,2,object
http://purl.org/dc/elements/1.1/,1,object
http://purl.org/dc/terms/,1,object
http://purl.org/ontology/,1,object
http://purl.org/spar/,1,object
http://purl.uniprot.org/uniprot/,14460,object
http://qudt.org/vocab/unit#,1625187,object
http://rdf.ebi.ac.uk/dataset/chembl/20.0/void.ttl#,2,object
http://rdf.ebi.ac.uk/dataset/chembl/21.0/void.ttl#,38,object
http://rdf.ebi.ac.uk/resource/chembl,130742630,object
http://rdf.ebi.ac.uk/terms/chembl#,21393252,object
http://rdfs.org/ns/void#,18,object
http://research.nhgri.nih.gov/CGD/view/,691,object
http://semanticscience.org/ontology/,3,object
http://semanticscience.org/resource/,34562237,object
http://www-935.ibm.com/services/us/gbs/bao/siip/nih/,199928,object
http://www.bioassayontology.org/,1,object
http://www.bioassayontology.org/bao#,15205695,object
http://www.drugbank.ca/drugs/,4032,object
http://www.ebi.ac.uk/,5,object
http://www.ebi.ac.uk/chebi/,13907,object
http://www.ebi.ac.uk/efo/,6312,object
http://www.ebi.ac.uk/gxa/,640,object
http://www.ebi.ac.uk/pdbe-srv/pdbechem/chemicalCompound/show/,8751,object
http://www.ebi.ac.uk/rdf/services/chembl/,1,object
http://www.emolecules.com/cgi-bin/,414429,object
http://www.genome.jp/dbget-bin/,6513,object
http://www.guidetopharmacology.org/GRAC/,4872,object
http://www.hmdb.ca/metabolites/,5189,object
http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/,1122793,object
http://www.ncbi.nlm.nih.gov/books/,625,object
http://www.obofoundry.org/ro/ro.owl#,1,object
http://www.openphacts.org/units/,10398953,object
http://www.pharmgkb.org/drug/,717,object
http://www.pharmgkb.org/gene/,2555,object
http://www.selleckchem.com/products/,1644,object
http://www.uniprot.org/,2,object
http://www.w3.org/1999/02/,1,object
http://www.w3.org/1999/02/22-rdf-syntax-ns#,15,object
http://www.w3.org/2000/01/,1,object
http://www.w3.org/2001/,1,object
http://www.w3.org/2001/XMLSchema#,42,object
http://www.w3.org/2002/07/,1,object
http://www.w3.org/2002/07/owl#,225,object
http://www.w3.org/2004/02/skos/,2,object
http://www.w3.org/2004/02/skos/core#,5,object
http://xmlns.com/foaf/0.1/,1592192,object
http://zinc.docking.org/substance/,314021,object
https://cansar.icr.ac.uk/cansar/protein-targets/,4171,object
https://mcule.com/,363515,object
https://www.ebi.ac.uk/,2,object
https://www.ebi.ac.uk/chebi/,2,object
https://www.ebi.ac.uk/chembl/compound/displayimage_large/,1592191,object
https://www.molport.com/shop/molecule-link/,441238,object
https://www.surechembl.org/chemical/,292623,object
