URI,count,type
http://cdrewu.eagle-i.net/i/,1939,subject
http://eagle-i.org/ont/app/1.0/,157,subject
http://eagle-i.org/ont/repo/1.0/,9,subject
http://purl.obolibrary.org/obo/,607,subject
http://purl.org/net/OCRe/research.owl#,2,subject
http://vivoweb.org/ontology/core#,7,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://xmlns.com/foaf/0.1/,60,subject
http://cdrewu.eagle-i.net/i/,534,object
http://eagle-i.org/ont/repo/1.0/,160,object
http://global.eagle-i.net/i/,54,object
http://purl.obolibrary.org/obo/,242,object
http://purl.org/net/OCRe/research.owl#,5,object
http://vivoweb.org/ontology/core#,20,object
http://www.ebi.ac.uk/swo/license/,5,object
http://xmlns.com/foaf/0.1/,30,object
