URI,count,type
http://citeseer.rkbexplorer.com/id/,7000930,subject
http://oai.rkbexplorer.com/id/researchrepository.napier.ac.uk/,22,subject
http://www.aktors.org/ontology/date#,2506044,subject
http://citeseer.rkbexplorer.com/,6,object
http://citeseer.rkbexplorer.com/id/,2731631,object
http://citeseer.rkbexplorer.com/ontologies/,6,object
http://oai.rkbexplorer.com/id/researchrepository.napier.ac.uk/,11,object
http://www.aktors.org/ontology/,6,object
http://www.aktors.org/ontology/date#,505516,object
http://www.aktors.org/ontology/portal#,1629173,object
http://www.aktors.org/ontology/support#,505516,object
http://www.w3.org/2002/07/owl#,6,object
