URI,count,type
http://ccny-cuny.eagle-i.net/i/,259,subject
http://eagle-i.org/ont/app/1.0/,23,subject
http://eagle-i.org/ont/repo/1.0/,4,subject
http://purl.obolibrary.org/obo/,65,subject
http://vivoweb.org/ontology/core#,4,subject
http://xmlns.com/foaf/0.1/,12,subject
http://ccny-cuny.eagle-i.net/i/,82,object
http://eagle-i.org/ont/repo/1.0/,22,object
http://global.eagle-i.net/i/,1,object
http://purl.obolibrary.org/obo/,13,object
http://vivoweb.org/ontology/core#,7,object
http://xmlns.com/foaf/0.1/,6,object
