URI,count,type
http://cau.eagle-i.net/i/,508,subject
http://eagle-i.org/ont/app/1.0/,38,subject
http://eagle-i.org/ont/repo/1.0/,2,subject
http://purl.obolibrary.org/obo/,168,subject
http://vivoweb.org/ontology/core#,2,subject
http://xmlns.com/foaf/0.1/,8,subject
http://cau.eagle-i.net/i/,179,object
http://eagle-i.org/ont/repo/1.0/,38,object
http://global.eagle-i.net/i/,20,object
http://purl.obolibrary.org/obo/,37,object
http://vivoweb.org/ontology/core#,9,object
http://xmlns.com/foaf/0.1/,4,object
