URI,count,type
http://creativecommons.org/publicdomain/zero/1.0/,1,subject
http://purl.jp/bio/10/colil/id/,574050405,subject
http://purl.jp/bio/10/colil/ontology/,16,subject
http://purl.jp/bio/10/colil/ontology/201303#,59,subject
http://togows.dbcls.jp/entry/pubmed/,52640687,subject
http://biotea.idiginfo.org/pubmedOpenAccess/rdf/,273144,object
http://creativecommons.org/publicdomain/zero/1.0/,1,object
http://dx.doi.org,1387525,object
http://prismstandard.org/namespaces/1.2/basic/,3,object
http://purl.jp/bio/10/colil/id/,615634716,object
http://purl.jp/bio/10/colil/ontology/201303#,322553303,object
http://purl.org/dc/terms/,10,object
http://purl.org/ontology/bibo/,6,object
http://purl.org/spar/,2,object
http://purl.org/spar/deo/,1,object
http://purl.org/spar/doco/,4764265,object
http://togows.dbcls.jp/entry/pubmed/,9012184,object
http://www.essepuntato.it/2008/12/,1,object
http://www.essepuntato.it/2008/12/pattern#,1,object
http://www.ncbi.nlm.nih.gov/pmc/articles/,1490231,object
http://www.w3.org/1999/02/22-rdf-syntax-ns#,3,object
http://www.w3.org/2000/01/rdf-schema#,1,object
http://www.w3.org/2001/XMLSchema#,2,object
http://www.w3.org/2002/07/owl#,35,object
