URI,count,type
http://dartmouth.eagle-i.net/i/,316964,subject
http://eagle-i.org/ont/repo/1.0/,59429,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,object
http://dartmouth.eagle-i.net/i/,110256,object
http://eagle-i.org/ont/app/1.0/,6,object
http://eagle-i.org/ont/repo/1.0/,23682,object
http://global.eagle-i.net/i/,341,object
http://purl.bioontology.org/ontology/MSH/,213,object
http://purl.obolibrary.org/obo/,23778,object
http://purl.org/net/OCRe/research.owl#,5,object
http://purl.org/net/OCRe/study_design.owl#,5,object
http://vivoweb.org/ontology/core#,330,object
http://www.ebi.ac.uk/efo/swo/,40,object
http://www.ebi.ac.uk/swo/data/,1,object
http://www.ebi.ac.uk/swo/license/,46,object
http://xmlns.com/foaf/0.1/,235,object
