URI,count,type
http://bioonto.de/mesh.owl#,319,subject
http://biotop.googlecode.com/svn/trunk/umlssn.owl#,666,subject
http://identifiers.org,24356527,subject
http://linkedlifedata.com/resource/umls/id/,4316732,subject
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#,212,subject
http://orcid.org/,60,subject
http://purl.bioontology.org/ontology/ICD9CM/,35266,subject
http://purl.obolibrary.org/obo/,124632,subject
http://purl.org/biotop/umlssn.owl#,286,subject
http://purl.org/dc/dcmitype/,3,subject
http://purl.org/dc/elements/1.1/,6,subject
http://purl.org/dc/terms/,407,subject
http://purl.org/ontology/wi/core#,2,subject
http://purl.org/pav/,24,subject
http://purl.org/pav/2.0/,27,subject
http://purl.org/spar/cito/,3,subject
http://purl.uniprot.org/core/,104,subject
http://purl.uniprot.org/taxonomy/,364,subject
http://rdf.disgenet.org/download/,9,subject
http://rdf.disgenet.org/download/v3.0.0/,9,subject
http://rdf.disgenet.org/download/v4.0.0/,12,subject
http://rdf.disgenet.org/gene-disease-association.ttl#,27198754,subject
http://rdf.disgenet.org/nanopublications.trig#,22560816,subject
http://rdf.disgenet.org/pantherClass.ttl#,310,subject
http://rdf.disgenet.org/resource/disease.pleiotropy/,102030,subject
http://rdf.disgenet.org/resource/disease.specificity/,101352,subject
http://rdf.disgenet.org/resource/gda/,93874238,subject
http://rdf.disgenet.org/resource/nanopub/,58407298,subject
http://rdf.disgenet.org/resource/panther.classification/,548,subject
http://rdf.disgenet.org/v2.1.0/,16,subject
http://rdf.disgenet.org/v2.1.0/void.ttl#,4701094,subject
http://rdf.disgenet.org/v3.0.0/void/,5095590,subject
http://rdf.disgenet.org/v4.0.0/void/,7076579,subject
http://rdf.disgenet.org/void/,27,subject
http://rdf.imim.es/,7,subject
http://rdf.imim.es/disgenet-gene-disease-association.ttl#,676249,subject
http://rdf.imim.es/disgenet-void.ttl#,135,subject
http://rdf.imim.es/rh-mesh.owl#,976,subject
http://rdfs.org/ns/void#,222,subject
http://schema.org/,3,subject
http://semanticscience.org/resource/,1154,subject
http://voag.linkedmodel.org/schema/voag#,3,subject
http://vocabularies.bridgedb.org/ops#,8,subject
http://vocabularies.wikipathways.org/wp#,13,subject
