URI,count,type
http://www.w3.org/2000/01/rdf-schema#,1,subject
http://www.w3.org/2002/07/owl#,1,subject
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/,125,subject
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/,36580,subject
http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/,3,subject
http://xmlns.com/foaf/0.1/,1,subject
http://129.128.185.122/drugbank2/drugs,1271,object
http://bio2rdf.org/,1978,object
http://dbpedia.org/ontology/,5,object
http://dbpedia.org/page/,729,object
http://dbpedia.org/resource/,729,object
http://en.wikipedia.org/wiki/,729,object
http://www.drugbank.ca/drugs/,803,object
http://www.rxlist.com/cgi/,1,object
http://www.rxlist.com/cgi/generic/,235,object
http://www.rxlist.com/cgi/generic2/,170,object
http://www.rxlist.com/cgi/generic3/,158,object
http://www.rxlist.com/cgi/generic4/,10,object
http://www.uniprot.org/uniprot/,72,object
http://www.w3.org/1999/02/22-rdf-syntax-ns#,117,object
http://www.w3.org/2000/01/rdf-schema#,6,object
http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/,2,object
http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/,1,object
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/,803,object
http://www4.wiwiss.fu-berlin.de/drugbank/vocab/resource/class/,803,object
