URI,count,type
http://identifiers.org,180920406,subject
http://purl.uniprot.org/uniparc/,4772397,subject
http://purl.uniprot.org/uniprot/,7171931,subject
http://rdf.ebi.ac.uk/dataset/ensembl/85/,138,subject
http://rdf.ebi.ac.uk/resource/chembl/target/,28167,subject
http://rdf.ebi.ac.uk/resource/ensembl,507793223,subject
http://rdf.ebi.ac.uk/resource/ensembl.exon/,106859946,subject
http://rdf.ebi.ac.uk/resource/ensembl.protein/,65473329,subject
http://rdf.ebi.ac.uk/resource/ensembl.transcript,108006291,subject
http://rdf.ebi.ac.uk/resource/ensembl.transcript/,4244958,subject
http://rdf.ebi.ac.uk/terms/ensembl/,5480182,subject
http://biohackathon.org/resource/faldo#,108027330,object
http://identifiers.org,141252800,object
http://idtype.identifiers.org/,48117553,object
http://purl.obolibrary.org/obo/,21471974,object
http://purl.uniprot.org,3675950,object
http://purl.uniprot.org/pfam/,2615536,object
http://purl.uniprot.org/pirsf/,55608,object
http://purl.uniprot.org/prints/,2926434,object
http://purl.uniprot.org/prosite/,2215132,object
http://purl.uniprot.org/smart/,2238426,object
http://purl.uniprot.org/supfam/,1980726,object
http://purl.uniprot.org/tigrfams/,80990,object
http://purl.uniprot.org/uniparc/,1590799,object
http://purl.uniprot.org/uniprot/,1499671,object
http://rdf.ebi.ac.uk/dataset/ensembl/,138,object
http://rdf.ebi.ac.uk/resource/chembl/target/,9389,object
http://rdf.ebi.ac.uk/resource/ensembl,288887756,object
http://rdf.ebi.ac.uk/resource/ensembl.exon/,35619982,object
http://rdf.ebi.ac.uk/resource/ensembl.protein/,1614711,object
http://rdf.ebi.ac.uk/resource/ensembl.transcript,17809991,object
http://rdf.ebi.ac.uk/terms/ensembl/,47162452,object
http://semanticscience.org/resource/,17809991,object
