URI,count,type
ftp://ftp.ebi.ac.uk//pub/databases/microarray/data/atlas/rdf/,5,subject
http://dbpedia.org/resource/,2,subject
http://edamontology.org/,90097,subject
http://identifiers.org,90324827,subject
http://purl.obolibrary.org/obo#,48,subject
http://purl.obolibrary.org/obo/,382548,subject
http://purl.obolibrary.org/obo/bto#,3,subject
http://purl.obolibrary.org/obo/edam#,18,subject
http://purl.obolibrary.org/obo/ncbitaxon#,3,subject
http://purl.obolibrary.org/obo/uberon#,175,subject
http://purl.obolibrary.org/obo/uberon/core#,5,subject
http://purl.org/dc/dcmitype/,2,subject
http://purl.org/dc/elements/1.1/,10,subject
http://purl.org/dc/terms/,12822,subject
http://purl.org/obo/,12,subject
http://purl.org/obo/owl/CL#,10773,subject
http://purl.org/obo/owl/NCBITaxon#,6101,subject
http://purl.org/obo/owl/OBO_REL#,98,subject
http://purl.org/obo/owl/PATO#,109,subject
http://purl.org/obo/owl/UO#,1163,subject
http://purl.org/pav/2.0/,10,subject
http://purl.uniprot.org/uniprot/,3972239,subject
http://rdf.ebi.ac.uk/dataset/,11,subject
http://rdf.ebi.ac.uk/dataset/atlas-arrays/,21,subject
http://rdf.ebi.ac.uk/dataset/atlas-xrefs/,36,subject
http://rdf.ebi.ac.uk/dataset/atlas/,4983,subject
http://rdf.ebi.ac.uk/dataset/atlas/13.05/,1,subject
http://rdf.ebi.ac.uk/dataset/atlas/13.07/,1,subject
http://rdf.ebi.ac.uk/resource/atlas,760735049,subject
http://rdf.ebi.ac.uk/resource/ensembl/,3677880,subject
http://rdf.ebi.ac.uk/resource/expressionatlas,57121042,subject
http://rdf.ebi.ac.uk/terms/,66,subject
http://rdf.ebi.ac.uk/terms/atlas/,107101,subject
http://rdf.ebi.ac.uk/terms/atlas/dbXref/,757368,subject
http://rdf.ebi.ac.uk/terms/expressionatlas/,313,subject
http://rdfs.org/ns/void#,2084,subject
http://semanticscience.org/ontology/,25,subject
http://semanticscience.org/resource/,31773,subject
http://www.co-ode.org/patterns#,1,subject
http://www.ebi.ac.uk/,6,subject
http://www.ebi.ac.uk/Information/,2,subject
http://www.ebi.ac.uk/chebi/,726,subject
http://www.ebi.ac.uk/efo/,310596,subject
http://www.ebi.ac.uk/efo/http://purl.obolibrary.org/obo/,33,subject
http://www.ebi.ac.uk/efo/http://purl.org/obo/owl/UO#,1,subject
http://www.ebi.ac.uk/fgpt/,2,subject
http://www.ebi.ac.uk/fgpt/atlasrdf/,12,subject
http://www.ebi.ac.uk/fgpt/images/,72,subject
http://www.ebi.ac.uk/gxa/experiment,454930859,subject
http://www.ebi.ac.uk/gxa/gene,44054,subject
http://www.ebi.ac.uk/gxa/gene/,515067,subject
http://www.ebi.ac.uk/gxa/gene/Cyp3a23/,2,subject
http://www.ebi.ac.uk/gxa/gene/NOP5/,2,subject
http://www.ebi.ac.uk/gxa/gene/SLA/,2,subject
http://www.ebi.ac.uk/swo/,4327,subject
http://www.geneontology.org/formats/oboInOwl#,88,subject
http://www.ifomis.org/bfo/1.1/snap#,259,subject
http://www.ifomis.org/bfo/1.1/span#,32,subject
http://www.obofoundry.org/ro/ro.owl#,11528,subject
http://www.orpha.net/ORDO/,50192,subject
http://www.orphanet.org/rdfns#,127894,subject
http://www.reactome.org/biopax,17350361,subject
http://www.w3.org/2000/01/rdf-schema#,6,subject
http://www.w3.org/2002/07/owl#,5,subject
http://www.w3.org/ns/entailment/,2,subject
http://www.w3.org/ns/formats/,8,subject
http://www.w3.org/ns/prov#,2,subject
http://www.w3.org/ns/sparql-service-description#,18,subject
http://xmlns.com/foaf/0.1/,4968,subject
ftp://ftp.ebi.ac.uk//pub/databases/microarray/data/atlas/rdf/,5,object
ftp://ftp.ebi.ac.uk/pub/databases/intact/current/psimitab/,6,object
ftp://selab.janelia.org/pub/software/hmmer/2.4i/,1,object
ftp://selab.janelia.org/pub/software/hmmer/CURRENT/,1,object
http://annotation-ontology.googlecode.com/svn/trunk/annotation-core.owl#,6,object
http://bioontology.org/ontologies/ResearchArea.owl#,3,object
http://bozeman.mbt.washington.edu/consed/distributions/,6,object
http://compbio.soe.ucsc.edu/,2,object
http://dbpedia.org/resource/,2,object
http://edamontology.org/,15518,object
http://en.wikipedia.org/wiki/,39,object
http://filext.com/file-extension/,28,object
http://genome-source.cse.ucsc.edu/gitweb/?p=kent.git;a=blob_plain;f=src/inc/,3,object
http://genome.ucsc.edu/FAQ/FAQformat#,51,object
http://genome.ucsc.edu/goldenPath/help/,12,object
http://home.cc.umanitoba.ca/~psgendb/birchhomedir/local/pkg/gde/doc/,1,object
http://identifiers.org,116913563,object
http://jcomeau.freeshell.org/www/genome/,6,object
http://mblab.wustl.edu/,6,object
http://onto.eva.mpg.de/ontologies/gfo-bio.owl#,21,object
http://pngu.mgh.harvard.edu/~purcell/plink/data.shtml#,3,object
http://psidev.info/,30,object
http://purl.bioontology.org/ontology/MSH/,114,object
http://purl.obolibrary.org/obo#,481,object
http://purl.obolibrary.org/obo/,51312564,object
http://purl.obolibrary.org/obo/NCBITaxon#,3,object
http://purl.obolibrary.org/obo/edam#,8037,object
http://purl.obolibrary.org/obo/go#,328,object
http://purl.obolibrary.org/obo/ncbitaxon#,10182,object
http://purl.obolibrary.org/obo/uberon#,1701,object
http://purl.obolibrary.org/obo/uberon/core#,9,object
http://purl.org/biotop/biotop.owl#,27,object
http://purl.org/dc/dcmitype/,2,object
http://purl.org/dc/elements/1.1/,24,object
http://purl.org/dc/terms/,16,object
http://purl.org/obo/,12,object
http://purl.org/obo/owl/CL#,24483,object
http://purl.org/obo/owl/NCBITaxon#,64066,object
