URI,count,type
http://bioonto.de/mesh.owl#,1943186,subject
http://navi.first.lifesciencedb.jp/article,1818554,subject
http://navi.first.lifesciencedb.jp/nlp/,2188,subject
http://purl.bioontology.org/ontology/ICD10/,8408,subject
http://purl.jp/bio/10/lsd/icd10/,8408,subject
http://purl.jp/bio/10/lsd/mesh/,785311,subject
http://purl.jp/bio/10/lsd/ontology/,16,subject
http://purl.jp/bio/10/lsd/ontology/201209#,269,subject
http://purl.jp/bio/10/lsd/pair/,7760864,subject
http://purl.jp/bio/10/lsd/term/,3914855,subject
http://purl.org/ao/,2,subject
http://purl.org/ao/foaf/,2,subject
http://purl.org/ao/selectors/,1,subject
http://purl.org/dc/aboutdcmi#,2,subject
http://purl.org/dc/dcam/,2,subject
http://purl.org/dc/elements/1.1/,30,subject
http://purl.org/dc/terms/,2295,subject
http://purl.org/ontology/bibo/,1,subject
http://purl.org/pav/,3,subject
http://purl.org/spar/doco/,3,subject
http://sparqlbuilder.org/,9,subject
http://www.w3.org/2000/01/rdf-schema#,2,subject
http://www.w3.org/2001/XMLSchema#,14,subject
http://www.w3.org/2004/02/skos/core#,6,subject
http://xmlns.com/foaf/0.1/,2,subject
http://bioonto.de/mesh.owl#,851056,object
http://creativecommons.org/licenses/by/2.1/jp/,5377,object
http://dublincore.org/documents/dcmi-box/,2,object
http://dublincore.org/documents/dcmi-period/,2,object
http://dublincore.org/documents/dcmi-point/,2,object
http://dublincore.org/usage/terms/history/#,264,object
http://first.lifesciencedb.jp/archives,45924,object
http://lcweb.loc.gov/catdir/cpso/lcco/,2,object
http://lcweb.loc.gov/standards/iso639-2/,2,object
http://lsd.pharm.kyoto-u.ac.jp/weblsd/tree/,49060,object
http://navi.first.lifesciencedb.jp/article,22175085,object
http://navi.first.lifesciencedb.jp/fanavi/,3,object
http://navi.first.lifesciencedb.jp/nlp/,1465,object
http://purl.bioontology.org/ontology/ICD10/,16914,object
http://purl.jp/bio/10/,3,object
http://purl.jp/bio/10/lsd/icd10/,16914,object
http://purl.jp/bio/10/lsd/mesh/,4553102,object
http://purl.jp/bio/10/lsd/ontology/201209#,3245214,object
http://purl.jp/bio/10/lsd/term/,6897928,object
http://purl.org/ao/,7109710,object
http://purl.org/ao/foaf/,2,object
http://purl.org/ao/selectors/,7109710,object
http://purl.org/dc/aboutdcmi#,2,object
http://purl.org/dc/dcam/,21,object
http://purl.org/dc/dcmitype/,8,object
http://purl.org/dc/elements/1.1/,92,object
http://purl.org/dc/terms/,428,object
http://purl.org/ontology/bibo/,5386,object
http://purl.org/pav/,2,object
http://purl.org/spar/doco/,423004,object
http://rdf.ncbi.nlm.nih.gov/pubmed/,2499,object
http://sparqlbuilder.org/2014/05/rdf-metadata-schema#,10771,object
http://uri.dbcls.rois.ac.jp/,7109703,object
http://wordnet.jp/ja11/instances/,2255805,object
http://www.getty.edu/research/tools/vocabulary/tgn/,2,object
http://www.iana.org/assignments/media-types/,2,object
http://www.ietf.org/rfc/,10,object
http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/,2,object
http://www.ncbi.nlm.nih.gov/pubmed/,2871,object
http://www.nlm.nih.gov/mesh/,2,object
http://www.oclc.org/dewey/,2,object
http://www.sil.org/iso639-3/,2,object
http://www.udcc.org/,2,object
http://www.w3.org/1999/02/22-rdf-syntax-ns#,776,object
http://www.w3.org/2000/01/rdf-schema#,86,object
http://www.w3.org/2001/XMLSchema#,3504,object
http://www.w3.org/2002/07/owl#,572924,object
http://www.w3.org/2004/02/skos/,2,object
http://www.w3.org/2004/02/skos/core#,16,object
http://www.w3.org/TR/,2,object
http://www.w3.org/ns/sparql-service-description#,9,object
http://wwwcf.nlm.nih.gov/class/,2,object
http://xmlns.com/foaf/0.1/,2,object
