URI,count,type
http://eagle-i.org/ont/app/1.0/,40,subject
http://eagle-i.org/ont/repo/1.0/,4,subject
http://famu.eagle-i.net/i/,1343,subject
http://purl.obolibrary.org/obo/,455,subject
http://vivoweb.org/ontology/core#,2,subject
http://www.ebi.ac.uk/efo/swo/,1,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://xmlns.com/foaf/0.1/,34,subject
http://eagle-i.org/ont/repo/1.0/,105,object
http://famu.eagle-i.net/i/,435,object
http://global.eagle-i.net/i/,44,object
http://purl.obolibrary.org/obo/,121,object
http://vivoweb.org/ontology/core#,8,object
http://www.ebi.ac.uk/efo/swo/,1,object
http://www.ebi.ac.uk/swo/license/,4,object
http://xmlns.com/foaf/0.1/,17,object
