URI,count,type
http://eagle-i.org/ont/app/1.0/,120,subject
http://eagle-i.org/ont/repo/1.0/,27,subject
http://immunology.harvard.eagle-i.net/i/,3557,subject
http://purl.obolibrary.org/obo/,680,subject
http://vivoweb.org/ontology/core#,1,subject
http://xmlns.com/foaf/0.1/,20,subject
http://eagle-i.org/ont/repo/1.0/,316,object
http://immunology.harvard.eagle-i.net/i/,1338,object
http://purl.bioontology.org/ontology/MSH/,10,object
http://purl.obolibrary.org/obo/,330,object
http://vivoweb.org/ontology/core#,6,object
http://xmlns.com/foaf/0.1/,10,object
