URI,count,type
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,subject
http://eagle-i.org/ont/app/1.0/,15886,subject
http://eagle-i.org/ont/repo/1.0/,119,subject
http://edamontology.org/,3,subject
http://harvard.eagle-i.net/i/,215475,subject
http://purl.obolibrary.org/obo/,36796,subject
http://vivoweb.org/ontology/core#,17,subject
http://www.ebi.ac.uk/efo/swo/,527,subject
http://www.ebi.ac.uk/swo/,10,subject
http://www.ebi.ac.uk/swo/data/,11,subject
http://www.ebi.ac.uk/swo/license/,3,subject
http://www.w3.org/2002/07/owl#,15,subject
http://xmlns.com/foaf/0.1/,1192,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,26,object
http://eagle-i.org/ont/app/1.0/,1,object
http://eagle-i.org/ont/repo/1.0/,12029,object
http://edamontology.org/,4,object
http://global.eagle-i.net/i/,7017,object
http://harvard.eagle-i.net/i/,59626,object
http://purl.bioontology.org/ontology/MSH/,4,object
http://purl.obolibrary.org/obo/,20557,object
http://purl.org/obo/owl/UBERON#,1,object
http://shared.eagle-i.net/repository/resource?uri=http://shared.eagle-i.net/i/,1,object
http://vivoweb.org/ontology/core#,358,object
http://www.ebi.ac.uk/efo/swo/,261,object
http://www.ebi.ac.uk/swo/,41,object
http://www.ebi.ac.uk/swo/data/,78,object
http://www.ebi.ac.uk/swo/license/,141,object
http://www.informatics.jax.org/javawi2/servlet/,10,object
http://www.informatics.jax.org/marker/,1,object
http://www.stembook.org/node/,1,object
http://xmlns.com/foaf/0.1/,596,object
