URI,count,type
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,subject
http://eagle-i.org/ont/app/1.0/,137,subject
http://eagle-i.org/ont/repo/1.0/,11,subject
http://howard.eagle-i.net/i/,1734,subject
http://purl.obolibrary.org/obo/,455,subject
http://purl.org/net/OCRe/research.owl#,1,subject
http://vivoweb.org/ontology/core#,8,subject
http://www.ebi.ac.uk/efo/swo/,3,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://xmlns.com/foaf/0.1/,34,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,2,object
http://eagle-i.org/ont/repo/1.0/,125,object
http://global.eagle-i.net/i/,31,object
http://howard.eagle-i.net/i/,553,object
http://purl.obolibrary.org/obo/,171,object
http://purl.org/net/OCRe/research.owl#,1,object
http://vivoweb.org/ontology/core#,21,object
http://www.ebi.ac.uk/efo/swo/,1,object
http://www.ebi.ac.uk/swo/license/,3,object
http://xmlns.com/foaf/0.1/,17,object
