URI,count,type
http://eagle-i.org/ont/app/1.0/,308,subject
http://eagle-i.org/ont/repo/1.0/,5,subject
http://jsu.eagle-i.net/i/,5401,subject
http://purl.obolibrary.org/obo/,1477,subject
http://purl.org/net/OCRe/research.owl#,4,subject
http://vivoweb.org/ontology/core#,10,subject
http://www.ebi.ac.uk/efo/swo/,23,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://xmlns.com/foaf/0.1/,72,subject
http://eagle-i.org/ont/repo/1.0/,357,object
http://global.eagle-i.net/i/,192,object
http://jsu.eagle-i.net/i/,1779,object
http://purl.obolibrary.org/obo/,515,object
http://purl.org/net/OCRe/research.owl#,31,object
http://vivoweb.org/ontology/core#,38,object
http://www.ebi.ac.uk/efo/swo/,13,object
http://www.ebi.ac.uk/swo/license/,47,object
http://xmlns.com/foaf/0.1/,36,object
