URI,count,type
http://lod.ac/bdls/,1,subject
http://lod.ac/bdls/provenance/,204,subject
http://lod.ac/bdls/publisher/,22,subject
http://lod.ac/bdls/source/,306,subject
http://lod.ac/bdls/species,4317273,subject
http://lod.ac/bdls/species/,25912,subject
http://lod.ac/bdls/term,1402705,subject
http://lod.ac/bdls/term/,11173,subject
http://dbpedia.org/resource/,18545,object
http://ja.dbpedia.org/property/,2,object
http://ja.dbpedia.org/resource/,7365,object
http://lod.ac/bdls/publisher/,102,object
http://lod.ac/bdls/source/,102,object
http://lod.ac/bdls/species,1741217,object
http://lod.ac/bdls/species/,1309,object
http://lod.ac/bdls/term,442940,object
http://lod.ac/bdls/term/,11173,object
http://lod.ac/ns/species#,483224,object
http://lod.ac/ns/term#,129558,object
http://lod.ac/species,837210,object
