"URI","count","type"
"http://data.linkedct.org/resource/","47431820","subject"
"http://data.linkedct.org/vocab/resource/","301","subject"
"http://www.w3.org/2000/01/rdf-schema#","2","subject"
"http://xmlns.com/foaf/spec/#","3","subject"
"ftp://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DATA2010/Focusarea19/","1","object"
"ftp://ftp.fao.org/es/esn/food/","1","object"
"http:///casgroup.fiu.edu/capp/","1","object"
"http:///circ.ahajournals.org/cgi/content/meeting_abstract/120/18_MeetingAbstracts/","1","object"
"http:///dicon.medicine.duke.edu/","1","object"
"http:///hci-as2.hci.utah.edu/CFSurvey/","1","object"
"http:///www.gesundheitsforschung-bmbf.de/de/","1","object"
"http:///www.kcl.ac.uk/medicine/research/divisions/gmm/departments/dermatology/Research/stru/","1","object"
"http:///www.mrc.ac.uk/","1","object"
"http://103.31.202.60/subFW/","1","object"
"http://113.108.182.54/","1","object"
"http://130.219.250.123/pepweb/aboutus/","1","object"
"http://134.192.148.31/growth/","1","object"
"http://15.www.apregistry.com/forms/","2","object"
"http://151.100.101.14/ufficiostampa/","1","object"
"http://189.254.115.250/Resoluciones/Consultas/","1","object"
"http://189.28.128.100/nutricao/docs/geral/","1","object"
"http://193.146.50.130/","1","object"
"http://200.76.79.60/clinicaobesidad/","1","object"
"http://212.77.64.159/verona/","1","object"
"http://218.75.123.195:8181/portal/root/wzykdx_mzyzw_sjxt/","1","object"
"http://22q13.org/j15/","1","object"
"http://2coms.homestead.com/","1","object"
"http://4pillarstoolkit.pitt.edu/","1","object"
"http://ClinicalTrials.gov/show/","5","object"
"http://Consultgerin.org/uploads/File/trythis/","1","object"
"http://Www.ginasthma.org/","1","object"
"http://Www.sign.ac.uk/pdf/","1","object"
"http://aac.asm.org/content/57/2/","1","object"
"http://aaspire.org/?p=projects&c=hctoolkit/","1","object"
"http://abstracts.hematologylibrary.org/cgi/content/abstract/110/11/","2","object"
"http://abstracts.hematologylibrary.org/cgi/content/abstract/112/11/","1","object"
"http://abstracts.hematologylibrary.org/cgi/content/abstract/118/21/601?maxtoshow=&hits=50&RESULTFORMAT=&searchid=1&FIRSTINDEX=0&displaysectionid=Oral+Sessions&fdate=1/1/2011&tdate=12/31/","1","object"
"http://ac.els-cdn.com.eproxy2.lib.hku.hk/S0002914903009226/","1","object"
"http://ac.els-cdn.com.ezproxy.library.dal.ca/S0924977X13705789/","1","object"
"http://ac.els-cdn.com/S0010448510002137/","1","object"
"http://ac.els-cdn.com/S0924857914000521/","1","object"
"http://academicdepartments.musc.edu/chp/ot/research/upper_extremity_lab/","1","object"
"http://academics.ochsner.org/","4","object"
"http://accordiafoundation.org/","1","object"
"http://acd.ufrj.br/nutricao/","1","object"
"http://achri.archildrens.org/Clinical_Research/Studies/","1","object"
"http://acpwh.csp.org.uk/publications/","2","object"
"http://acrc.ucsf.edu/","1","object"
"http://acrin.org/","2","object"
"http://acspressroom.wordpress.com/2012/01/06/cancer-in-teens-and-young-adults-not-much-improvement/","1","object"
"http://activ8rlives.com/","1","object"
"http://activcollector.clermont.inra.fr/","1","object"
"http://active-rehab.no/","1","object"
"http://activelivingresearch.org/","1","object"
"http://adai.washington.edu/instruments/pdf/","1","object"
"http://adc.bmj.com/content/98/6/","1","object"
"http://adni.loni.ucla.edu/","1","object"
"http://adni.loni.usc.edu/","1","object"
"http://advancedbrainmonitoring.com/night-shift/","1","object"
"http://aedv.es/profesionales/actualidad/noticias/","1","object"
"http://aegeriasoftissue.com/","1","object"
"http://africa.unfpa.org/public/news/pid/","1","object"
"http://aging.med.nyu.edu/","1","object"
"http://aging.ufl.edu/","3","object"
"http://agingandcognitionlab.com/","1","object"
"http://aidsinfo.nih.gov/ClinicalTrials/","1","object"
"http://aidsinfo.nih.gov/ContentFiles/","49","object"
"http://aidsinfo.nih.gov/DrugsNew/","176","object"
"http://aidsinfo.nih.gov/clinicaltrials/","335","object"
"http://aidsinfo.nih.gov/contentfiles/","14","object"
