URI,count,type
http://eagle-i.org/ont/app/1.0/,89,subject
http://eagle-i.org/ont/repo/1.0/,2,subject
http://meharry.eagle-i.net/i/,1073,subject
http://purl.obolibrary.org/obo/,358,subject
http://vivoweb.org/ontology/core#,3,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://xmlns.com/foaf/0.1/,28,subject
http://eagle-i.org/ont/repo/1.0/,78,object
http://global.eagle-i.net/i/,20,object
http://meharry.eagle-i.net/i/,345,object
http://purl.obolibrary.org/obo/,106,object
http://vivoweb.org/ontology/core#,11,object
http://www.ebi.ac.uk/swo/license/,4,object
http://xmlns.com/foaf/0.1/,14,object
