URI,count,type
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,subject
http://eagle-i.ctsi.msu.edu/i/,5604,subject
http://eagle-i.org/ont/app/1.0/,512,subject
http://eagle-i.org/ont/repo/1.0/,10,subject
http://purl.obolibrary.org/obo/,1341,subject
http://vivoweb.org/ontology/core#,6,subject
http://www.ebi.ac.uk/efo/swo/,10,subject
http://www.ebi.ac.uk/swo/,1,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://www.w3.org/2002/07/owl#,4,subject
http://xmlns.com/foaf/0.1/,168,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,3,object
http://core.phmtox.msu.edu/Scheduling/,1,object
http://dev.cam.msu.edu/facilities/transmission-electron-microscopy-tem-biological-sciences/,1,object
http://eagle-i.ctsi.msu.edu/i/,1679,object
http://eagle-i.org/ont/repo/1.0/,449,object
http://global.eagle-i.net/i/,2,object
http://purl.bioontology.org/ontology/MSH/,1,object
http://purl.obolibrary.org/obo/,613,object
http://vivoweb.org/ontology/core#,32,object
http://www.ebi.ac.uk/efo/swo/,2,object
http://www.ebi.ac.uk/swo/,1,object
http://www.ebi.ac.uk/swo/license/,2,object
http://www.obl.msu.edu/,4,object
http://xmlns.com/foaf/0.1/,84,object
