URI,count,type
http://eagle-i.org/ont/app/1.0/,235,subject
http://eagle-i.org/ont/repo/1.0/,40,subject
http://msm.eagle-i.net/i/,4586,subject
http://purl.obolibrary.org/obo/,1436,subject
http://vivoweb.org/ontology/core#,5,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://xmlns.com/foaf/0.1/,96,subject
http://eagle-i.org/ont/repo/1.0/,296,object
http://global.eagle-i.net/i/,221,object
http://msm.eagle-i.net/i/,1452,object
http://purl.obolibrary.org/obo/,562,object
http://vivoweb.org/ontology/core#,30,object
http://www.ebi.ac.uk/swo/license/,4,object
http://xmlns.com/foaf/0.1/,48,object
