URI,count,type
http://biomodels.net/biology-qualifiers/,3,subject
http://bmrbpub.protein.osaka-u.ac.jp/schema/,6,subject
http://creativecommons.org/licenses/by-nc-sa/4.0/,1,subject
http://creativecommons.org/licenses/by-sa/4.0/,1,subject
http://fams.bio.chuo-u.ac.jp/GPCR/rdf/,7,subject
http://fams.bio.chuo-u.ac.jp/storage/famsbase/GPCR/CHAINs/,116,subject
http://fams.bio.chuo-u.ac.jp/storage/famsbase/GPCR/INs,3892704,subject
http://identifiers.org/pdb/,58,subject
http://identifiers.org/uniprot/,355661,subject
http://jcggdb.jp/rdf/diseases/,24,subject
http://jcggdb.jp/rdf/diseases/gdgdb-schema#,1,subject
http://jcggdb.jp/rdf/diseases/ggdonto-schema#,1,subject
http://jcggdb.jp/rdf/diseases/gmncbi-schema#,4,subject
http://jcggdb.jp/rdf/diseases/paconto#,81012,subject
http://jcggdb.jp/rdf/diseases/paconto-schema#,561,subject
http://metadb.riken.jp/db/,5,subject
http://metadb.riken.jp/db/SSBD/,13188,subject
http://metadb.riken.jp/ontology/,5,subject
http://metadb.riken.jp/ontology/SSBD/,72,subject
http://prismstandard.org/namespaces/basic/2.0/,6,subject
http://purl.jp/bio/01/famsbase/,1946352,subject
http://purl.jp/bio/01/famsbase/ontology/,42,subject
http://purl.jp/bio/12/glyco/glycan#,25,subject
http://purl.obolibrary.org/obo/,16,subject
http://purl.org/dc/terms/,12,subject
http://purl.org/ontology/bibo/,4,subject
http://purl.org/pav/,1,subject
http://purl.uniprot.org/core/,4,subject
http://rdf.ncbi.nlm.nih.gov/pubmed/,9,subject
http://ssbd.qbic.riken.jp/data/source/Ce_KK_P002,372,subject
http://ssbd.qbic.riken.jp/data/source/Ce_ZB/081505_L1/,1,subject
http://ssbd.qbic.riken.jp/data/source/Mm_KB/,1,subject
http://www.w3.org/2000/01/rdf-schema#,3,subject
http://www.w3.org/2002/07/owl#,3,subject
http://www.w3.org/2004/02/skos/core#,4,subject
http://www.w3.org/ns/ma-ont#,1,subject
https://github.com/ecell/spatiocyte/blob/master/samples/2010.arjunan.syst.synth.biol/,1,subject
http://biohackathon.org/resource/faldo#,4865880,object
http://bmrbpub.protein.osaka-u.ac.jp/schema/,3,object
http://bmrbpub.protein.osaka-u.ac.jp/schema/mmcif_nmr-star.owl/,1,object
http://creativecommons.org/licenses/by-nc-sa/2.1/jp/,1,object
http://creativecommons.org/licenses/by-nc-sa/4.0/,696,object
http://creativecommons.org/licenses/by-sa/4.0/,8,object
http://edamontology.org/,2432969,object
http://fams.bio.chuo-u.ac.jp/storage/famsbase/GPCR/CHAINs/,1946352,object
http://fams.bio.chuo-u.ac.jp/storage/famsbase/GPCR/INs,1459764,object
http://id.nlm.nih.gov/mesh/,373,object
http://identifiers.org/insdc/,637761,object
http://identifiers.org/mesh/,373,object
http://identifiers.org/ncbiprotein/,1539,object
http://identifiers.org/pdb/,497704,object
http://identifiers.org/refseq/,757812,object
http://identifiers.org/uniprot/,761197,object
http://jcggdb.jp/idb/,128,object
http://jcggdb.jp/idb/jcggdb/,120,object
http://jcggdb.jp/rdf/diseases/,7,object
http://jcggdb.jp/rdf/diseases/ggdonto-schema#,10,object
http://jcggdb.jp/rdf/diseases/paconto#,34764,object
http://jcggdb.jp/rdf/diseases/paconto-schema#,15049,object
http://metadb.riken.jp/,2,object
http://metadb.riken.jp/db/SSBD/,3970,object
http://metadb.riken.jp/ontology/SSBD/,3017,object
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#,2,object
http://purl.jp/bio/01/famsbase/ontology/,486621,object
http://purl.jp/bio/12/glyco/glycan#,668,object
http://purl.obolibrary.org/obo/,2470,object
http://purl.org/dc/terms/,4,object
http://purl.org/ontology/bibo/,1,object
http://purl.uniprot.org/core/,501,object
http://purl.uniprot.org/taxonomy/,126,object
http://rdf.ncbi.nlm.nih.gov/pubmed/,730,object
http://rdf.wwpdb.org/schema/pdbx-v40.owl#,206,object
http://ssbd.qbic.riken.jp/data/source/Ce_KK_P002,372,object
http://ssbd.qbic.riken.jp/data/source/Ce_ZB/081505_L1/,1,object
http://ssbd.qbic.riken.jp/data/source/Mm_KB/,1,object
http://www.bio.chuo-u.ac.jp/,1,object
http://www.bmrb.wisc.edu/dictionary/,5506,object
http://www.glycoepitope.jp/epitopes/,78,object
http://www.monosaccharidedb.org/rdf/,251,object
http://www.w3.org/1999/02/22-rdf-syntax-ns#,2752,object
http://www.w3.org/2000/01/rdf-schema#,387,object
http://www.w3.org/2001/XMLSchema#,5000,object
http://www.w3.org/2002/07/owl#,20896,object
http://www.w3.org/2004/02/skos/core#,2709,object
http://www.w3.org/ns/ma-ont#,1,object
https://creativecommons.org/licenses/by/4.0/,1,object
https://github.com/ecell/spatiocyte/blob/master/samples/2010.arjunan.syst.synth.biol/,2,object
