URI,count,type
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,subject
http://eagle-i.org/ont/app/1.0/,2341,subject
http://eagle-i.org/ont/repo/1.0/,34,subject
http://ohsu.eagle-i.net/i/,46682,subject
http://purl.obolibrary.org/obo/,9794,subject
http://purl.org/net/OCRe/research.owl#,1,subject
http://purl.org/ontology/bibo/,1,subject
http://vivoweb.org/ontology/core#,15,subject
http://www.ebi.ac.uk/efo/swo/,102,subject
http://www.ebi.ac.uk/swo/,5,subject
http://www.ebi.ac.uk/swo/data/,10,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://www.w3.org/2002/07/owl#,4,subject
http://xmlns.com/foaf/0.1/,504,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,3,object
http://eagle-i.org/ont/app/1.0/,12,object
http://eagle-i.org/ont/repo/1.0/,3135,object
http://flystocks.bio.indiana.edu/,1,object
http://global.eagle-i.net/i/,940,object
http://jaxmice.jax.org/strain/,2,object
http://ohsu.eagle-i.net/i/,15053,object
http://purl.bioontology.org/ontology/MSH/,8,object
http://purl.obolibrary.org/obo/,6688,object
http://purl.org/net/OCRe/research.owl#,1,object
http://purl.org/ontology/bibo/,6,object
http://vivoweb.org/ontology/core#,193,object
http://www.ebi.ac.uk/efo/swo/,43,object
http://www.ebi.ac.uk/swo/,8,object
http://www.ebi.ac.uk/swo/data/,12,object
http://www.ebi.ac.uk/swo/license/,117,object
http://www.informatics.jax.org/searches/,1,object
http://xmlns.com/foaf/0.1/,252,object
