URI,count,type
http://biocyc.org/biopax/,851683,subject
http://biocyc.org/biopax/biopax-level3#,643265,subject
http://cbio.mskcc.org/,6780,subject
http://cbio.mskcc.org/cpath#,498233263,subject
http://identifiers.org,72272185,subject
http://mirtarbase.mbc.nctu.edu.tw/,2,subject
http://mirtarbase.mbc.nctu.edu.tw/#,1895412,subject
http://pathwaycommons.org/biopax/,1650,subject
http://pathwaycommons.org/pc2/,599964,subject
http://pathwaycommons.org/pc2/#,424113372,subject
http://pid.nci.nih.gov/,4748698,subject
http://pid.nci.nih.gov/biopax#,1143657,subject
http://purl.org/pc2/3/,6804118,subject
http://purl.org/pc2/4/,10817147,subject
http://purl.org/pc2/5/,28,subject
http://purl.org/pc2/5/#,2308819,subject
http://purl.org/pc2/6/,28,subject
http://purl.org/pc2/6/#,2295236,subject
http://purl.org/pc2/7/,528022,subject
http://purl.org/pc2/7/#,9535367,subject
http://smpdb.ca/pathways/#,1436846,subject
http://www.ctdbase.org/,2,subject
http://www.ctdbase.org/#,13039314,subject
http://www.drugbank.ca/,2,subject
http://www.drugbank.ca/#,1491436,subject
http://www.gene-regulation.com/,2,subject
http://www.gene-regulation.com/#,6960229,subject
http://www.humanmetabolism.org/,2,subject
http://www.humanmetabolism.org/#,427381,subject
http://www.inoh.org/biopax/,1616210,subject
http://www.pantherdb.org/pathways/biopax,537767,subject
http://www.pantherdb.org/pathways/biopax#,1122592,subject
http://www.phosphosite.org/,2,subject
http://www.phosphosite.org/phosphosite.owl#,5409683,subject
http://www.ra.cs.uni-tuebingen.de/software/KEGGtranslator/,689190,subject
http://www.ra.cs.uni-tuebingen.de/software/KEGGtranslator/#,343793,subject
http://www.reactome.org/biopax/,4241784,subject
http://www.reactome.org/biopax/48887#,1996132,subject
http://www.reactome.org/biopax/50/,2,subject
http://www.reactome.org/biopax/50/48887#,315876,subject
http://www.reactome.org/biopax/56/48887#,1543868,subject
http://biocyc.org/biopax/,245081,object
http://biocyc.org/biopax/biopax-level3#,177495,object
http://cbio.mskcc.org/cpath#,137540188,object
http://identifiers.org,38817234,object
http://mirtarbase.mbc.nctu.edu.tw/#,514961,object
http://pathwaycommons.org/biopax/,22568,object
http://pathwaycommons.org/pc2/,235264,object
http://pathwaycommons.org/pc2/#,163648556,object
http://pid.nci.nih.gov/,2122121,object
http://pid.nci.nih.gov/biopax#,480710,object
http://purl.org/pc2/3/,2848956,object
http://purl.org/pc2/4/,4111382,object
http://purl.org/pc2/5/#,756772,object
http://purl.org/pc2/6/#,757232,object
http://purl.org/pc2/7/,777315,object
http://purl.org/pc2/7/#,3411733,object
http://smpdb.ca/pathways/#,545590,object
http://www.biopax.org/release/,3390,object
http://www.biopax.org/release/biopax-level2.owl#,131225147,object
http://www.biopax.org/release/biopax-level3.owl#,109660021,object
http://www.ctdbase.org/#,3723176,object
http://www.drugbank.ca/#,363466,object
http://www.gene-regulation.com/#,2447549,object
http://www.humanmetabolism.org/#,152331,object
http://www.inoh.org/biopax/,592340,object
http://www.pantherdb.org/pathways/biopax,169897,object
http://www.pantherdb.org/pathways/biopax#,330262,object
http://www.phosphosite.org/phosphosite.owl#,3246171,object
http://www.ra.cs.uni-tuebingen.de/software/KEGGtranslator/,252519,object
http://www.ra.cs.uni-tuebingen.de/software/KEGGtranslator/#,57561,object
http://www.reactome.org/biopax/,1310656,object
http://www.reactome.org/biopax/48887#,560513,object
http://www.reactome.org/biopax/50/48887#,139854,object
http://www.reactome.org/biopax/56/48887#,507806,object
http://www.w3.org/2002/07/owl#,8419,object
