URI,count,type
http://eagle-i.org/ont/app/1.0/,86635,subject
http://eagle-i.org/ont/repo/1.0/,27,subject
http://purl.obolibrary.org/obo/,185846,subject
http://shared.eagle-i.net/i/,1031634,subject
http://vivoweb.org/ontology/core#,9,subject
http://www.ebi.ac.uk/efo/swo/,109,subject
http://www.ebi.ac.uk/swo/,4,subject
http://www.ebi.ac.uk/swo/data/,2,subject
http://www.ebi.ac.uk/swo/license/,7,subject
http://www.w3.org/2002/07/owl#,6,subject
http://xmlns.com/foaf/0.1/,3776,subject
http://eagle-i.itmat.upenn.edu/i/,2,object
http://eagle-i.org/ont/repo/1.0/,43373,object
http://global.eagle-i.net/i/,28580,object
http://harvard.eagle-i.net/i/,1,object
http://harvard.eagle-i.net/repository/resource?uri=http://harvard.eagle-i.net/i/,1,object
http://hawaii.eagle-i.net/i/,1,object
http://purl.bioontology.org/ontology/MSH/,3,object
http://purl.obolibrary.org/obo/,106496,object
http://shared.eagle-i.net/i/,257493,object
http://vivoweb.org/ontology/core#,59,object
http://wiki.c2b2.columbia.edu/califanolab/index.php/,1,object
http://www.ebi.ac.uk/efo/swo/,31,object
http://www.ebi.ac.uk/swo/,24,object
http://www.ebi.ac.uk/swo/data/,5,object
http://www.ebi.ac.uk/swo/license/,19,object
http://xmlns.com/foaf/0.1/,1888,object
