URI,count,type
http://eagle-i.org/ont/app/1.0/,87,subject
http://eagle-i.org/ont/repo/1.0/,17,subject
http://purl.obolibrary.org/obo/,422,subject
http://tsu.eagle-i.net/i/,1350,subject
http://vivoweb.org/ontology/core#,5,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://xmlns.com/foaf/0.1/,26,subject
http://eagle-i.org/ont/repo/1.0/,110,object
http://global.eagle-i.net/i/,65,object
http://purl.obolibrary.org/obo/,162,object
http://tsu.eagle-i.net/i/,413,object
http://vivoweb.org/ontology/core#,19,object
http://www.ebi.ac.uk/swo/license/,1,object
http://xmlns.com/foaf/0.1/,13,object
