URI,count,type
http://eagle-i.org/ont/app/1.0/,78,subject
http://eagle-i.org/ont/repo/1.0/,6,subject
http://purl.obolibrary.org/obo/,788,subject
http://uccaribe.eagle-i.net/i/,2604,subject
http://vivoweb.org/ontology/core#,3,subject
http://www.ebi.ac.uk/efo/swo/,1,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://xmlns.com/foaf/0.1/,26,subject
http://eagle-i.org/ont/repo/1.0/,197,object
http://global.eagle-i.net/i/,109,object
http://purl.obolibrary.org/obo/,301,object
http://uccaribe.eagle-i.net/i/,808,object
http://vivoweb.org/ontology/core#,12,object
http://www.ebi.ac.uk/efo/swo/,5,object
http://www.ebi.ac.uk/swo/license/,16,object
http://xmlns.com/foaf/0.1/,13,object
