URI,count,type
http://alaska.eagle-i.net/i/,7589,subject
http://eagle-i.org/ont/app/1.0/,369,subject
http://eagle-i.org/ont/repo/1.0/,3,subject
http://purl.obolibrary.org/obo/,2109,subject
http://purl.org/net/OCRe/research.owl#,3,subject
http://vivoweb.org/ontology/core#,9,subject
http://www.ebi.ac.uk/efo/swo/,25,subject
http://www.ebi.ac.uk/swo/license/,1,subject
http://xmlns.com/foaf/0.1/,102,subject
http://alaska.eagle-i.net/i/,2702,object
http://eagle-i.org/ont/repo/1.0/,509,object
http://global.eagle-i.net/i/,293,object
http://purl.bioontology.org/ontology/MSH/,1,object
http://purl.obolibrary.org/obo/,791,object
http://purl.org/net/OCRe/research.owl#,11,object
http://vivoweb.org/ontology/core#,34,object
http://www.ebi.ac.uk/efo/swo/,19,object
http://www.ebi.ac.uk/swo/license/,35,object
http://xmlns.com/foaf/0.1/,51,object
