URI,count,type
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,subject
http://eagle-i.org/ont/app/1.0/,5055,subject
http://eagle-i.org/ont/repo/1.0/,16,subject
http://hawaii.eagle-i.net/i/,211454,subject
http://purl.obolibrary.org/obo/,38650,subject
http://purl.org/net/OCRe/research.owl#,7,subject
http://purl.org/net/OCRe/study_design.owl#,5,subject
http://vivoweb.org/ontology/core#,16,subject
http://www.ebi.ac.uk/efo/swo/,34,subject
http://www.ebi.ac.uk/swo/license/,3,subject
http://www.w3.org/2002/07/owl#,1,subject
http://xmlns.com/foaf/0.1/,310,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,1,object
http://eagle-i.org/ont/app/1.0/,38,object
http://eagle-i.org/ont/repo/1.0/,17502,object
http://global.eagle-i.net/i/,3652,object
http://hawaii.eagle-i.net/i/,74499,object
http://purl.obolibrary.org/obo/,19551,object
http://purl.org/net/OCRe/research.owl#,38,object
http://purl.org/net/OCRe/study_design.owl#,122,object
http://vivoweb.org/ontology/core#,176,object
http://www.ebi.ac.uk/efo/swo/,17,object
http://www.ebi.ac.uk/swo/license/,53,object
http://www.hawaii.edu/mri/,1,object
http://xmlns.com/foaf/0.1/,155,object
