URI,count,type
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,4,subject
http://eagle-i.itmat.upenn.edu/i/,49285,subject
http://eagle-i.org/ont/app/1.0/,3486,subject
http://eagle-i.org/ont/repo/1.0/,6738,subject
http://edamontology.org/,10,subject
http://purl.bioontology.org/ontology/MSH/,6,subject
http://purl.obolibrary.org/obo/,17249,subject
http://vivoweb.org/ontology/core#,327,subject
http://www.ebi.ac.uk/efo/swo/,241,subject
http://www.ebi.ac.uk/swo/,5,subject
http://www.ebi.ac.uk/swo/data/,173,subject
http://www.ebi.ac.uk/swo/license/,110,subject
http://www.ebi.ac.uk/swo/obective/,1,subject
http://www.w3.org/2002/07/owl#,7,subject
http://xmlns.com/foaf/0.1/,422,subject
http://bioontology.org/ontologies/BiomedicalResourceOntology.owl#,4,object
http://eagle-i.itmat.upenn.edu/i/,12813,object
http://eagle-i.org/ont/repo/1.0/,3339,object
http://edamontology.org/,23,object
http://global.eagle-i.net/i/,812,object
http://purl.bioontology.org/ontology/MSH/,6,object
http://purl.obolibrary.org/obo/,5948,object
http://vivoweb.org/ontology/core#,327,object
http://www.ebi.ac.uk/efo/swo/,178,object
http://www.ebi.ac.uk/swo/,39,object
http://www.ebi.ac.uk/swo/data/,172,object
http://www.ebi.ac.uk/swo/license/,110,object
http://www.ebi.ac.uk/swo/obective/,1,object
http://www.itmat.upenn.edu/ctrc/,1,object
http://www.med.upenn.edu/apps/faculty/index.php/g5455356/,1,object
http://www.research.chop.edu/cores/napcore/,1,object
http://xmlns.com/foaf/0.1/,422,object
