URI,count,type
http://eagle-i.org/ont/app/1.0/,91,subject
http://eagle-i.org/ont/repo/1.0/,3,subject
http://purl.obolibrary.org/obo/,412,subject
http://utep.eagle-i.net/i/,1287,subject
http://vivoweb.org/ontology/core#,2,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://xmlns.com/foaf/0.1/,46,subject
http://eagle-i.org/ont/repo/1.0/,100,object
http://global.eagle-i.net/i/,35,object
http://purl.obolibrary.org/obo/,140,object
http://utep.eagle-i.net/i/,355,object
http://vivoweb.org/ontology/core#,7,object
http://www.ebi.ac.uk/swo/license/,4,object
http://xmlns.com/foaf/0.1/,23,object
