URI,count,type
http://eagle-i.org/ont/app/1.0/,122,subject
http://eagle-i.org/ont/repo/1.0/,13,subject
http://purl.obolibrary.org/obo/,728,subject
http://utsa.eagle-i.net/i/,2470,subject
http://vivoweb.org/ontology/core#,7,subject
http://www.ebi.ac.uk/efo/swo/,7,subject
http://www.ebi.ac.uk/swo/license/,2,subject
http://xmlns.com/foaf/0.1/,88,subject
http://eagle-i.org/ont/repo/1.0/,197,object
http://global.eagle-i.net/i/,46,object
http://purl.obolibrary.org/obo/,171,object
http://utsa.eagle-i.net/i/,780,object
http://vivoweb.org/ontology/core#,47,object
http://www.ebi.ac.uk/efo/swo/,5,object
http://www.ebi.ac.uk/swo/license/,20,object
http://xmlns.com/foaf/0.1/,44,object
