URI,count
http://data.wikipathways.org/160810/rdf/,78
http://rdf.wikipathways.org/,23
http://rdf.wikipathways.org/Pathway,14894561
http://rdf.wikipathways.org/pastVersions/release20160710/,4
http://rdf.wikipathways.org/release160810/,46
http://vocabularies.wikipathways.org/,4
http://vocabularies.wikipathways.org/gpml#,818831
http://vocabularies.wikipathways.org/gpml/,19
http://vocabularies.wikipathways.org/wp#,376423
http://vocabularies.wikipathways.org/wp/,17
http://www.wikipathways.org/,2
http://www.wikipathways.org/instance/,1764
https://github.com/wikipathways/GPML2RDF/tree/,2
